Lag1,Lag2
0.381,-0.192
0.959,0.381
1.032,0.959
-0.623,1.032
0.614,-0.623
0.213,0.614
1.392,0.213
-0.403,1.392
0.027,-0.403
1.303,0.027
0.287,1.303
-0.498,0.287
-0.189,-0.498
0.68,-0.189
0.701,0.68
-0.562,0.701
0.546,-0.562
-1.747,0.546
0.359,-1.747
-0.151,0.359
-0.841,-0.151
-0.623,-0.841
-1.334,-0.623
1.183,-1.334
-0.865,1.183
-0.218,-0.865
0.812,-0.218
-1.891,0.812
-1.736,-1.891
-1.851,-1.736
-0.195,-1.851
-0.556,-0.195
1.749,-0.556
-0.766,1.749
-1.431,-0.766
0.104,-1.431
-0.568,0.104
0.586,-0.568
0.998,0.586
0.645,0.998
0.226,0.645
-2.476,0.226
-4.318,-2.476
1.483,-4.318
-2.584,1.483
0.587,-2.584
-1.962,0.587
1.763,-1.962
-2.408,1.763
-1.792,-2.408
-0.406,-1.792
1.991,-0.406
1.128,1.991
2.557,1.128
-2.443,2.557
-0.463,-2.443
1.078,-0.463
-1.246,1.078
-3.439,-1.246
-0.29,-3.439
4.368,-0.29
-1.998,4.368
0.812,-1.998
2.707,0.812
-0.213,2.707
1.51,-0.213
-0.323,1.51
1.028,-0.323
3.889,1.028
1.254,3.889
-0.854,1.254
-1.498,-0.854
-1.216,-1.498
1.594,-1.216
0.47,1.594
1.501,0.47
-0.287,1.501
1.359,-0.287
0.078,1.359
-1.487,0.078
1.444,-1.487
-0.245,1.444
-0.183,-0.245
-0.449,-0.183
-0.029,-0.449
-0.758,-0.029
0.261,-0.758
0.042,0.261
2.845,0.042
0.272,2.845
0.269,0.272
1.615,0.269
-0.263,1.615
-1.553,-0.263
0.32,-1.553
-1.182,0.32
-0.779,-1.182
-1.566,-0.779
0.62,-1.566
0.386,0.62
0.511,0.386
1.299,0.511
-1.055,1.299
0.546,-1.055
-0.94,0.546
-0.836,-0.94
0.116,-0.836
-1.135,0.116
-1.75,-1.135
-0.452,-1.75
-0.488,-0.452
0.343,-0.488
0.871,0.343
1.136,0.871
-0.945,1.136
-0.551,-0.945
-0.151,-0.551
-0.468,-0.151
1.249,-0.468
-0.148,1.249
1.008,-0.148
-0.184,1.008
-1.232,-0.184
-2.35,-1.232
0.688,-2.35
-1.44,0.688
-0.113,-1.44
2.369,-0.113
0.624,2.369
-1.088,0.624
0.997,-1.088
-0.554,0.997
0.605,-0.554
-0.343,0.605
-1.637,-0.343
-1.627,-1.637
1.608,-1.627
1.045,1.608
0.24,1.045
-0.108,0.24
0.557,-0.108
0.388,0.557
0.396,0.388
-0.524,0.396
-1.142,-0.524
0.327,-1.142
-1.733,0.327
-0.008,-1.733
0.569,-0.008
0.095,0.569
-0.383,0.095
-0.734,-0.383
0.309,-0.734
-1.666,0.309
0.812,-1.666
-1.208,0.812
0.696,-1.208
-0.276,0.696
1.965,-0.276
-0.483,1.965
-1.501,-0.483
-1.115,-1.501
-1.7,-1.115
0.403,-1.7
-0.056,0.403
-0.106,-0.056
-2.239,-0.106
-1.864,-2.239
0.623,-1.864
-4.922,0.623
-0.58,-4.922
-1.611,-0.58
-3.106,-1.611
-1.903,-3.106
3.898,-1.903
0.879,3.898
-0.517,0.879
1.149,-0.517
2.192,1.149
-0.23,2.192
1.231,-0.23
1.993,1.231
-0.247,1.993
0.164,-0.247
-0.834,0.164
-0.536,-0.834
2.294,-0.536
1.521,2.294
-0.527,1.521
-0.153,-0.527
0.694,-0.153
-1.863,0.694
-0.787,-1.863
0.456,-0.787
1.53,0.456
-0.47,1.53
0.039,-0.47
1.372,0.039
0.411,1.372
-2.382,0.411
-1.717,-2.382
-0.001,-1.717
2.295,-0.001
0.286,2.295
1.439,0.286
1.453,1.439
-0.273,1.453
0.246,-0.273
0.158,0.246
-0.177,0.158
1.856,-0.177
0.186,1.856
0.09,0.186
-0.314,0.09
1.09,-0.314
-0.73,1.09
-0.493,-0.73
1.171,-0.493
0.615,1.171
-0.684,0.615
-1.825,-0.684
1.035,-1.825
-0.066,1.035
-0.838,-0.066
1.319,-0.838
2.232,1.319
-0.278,2.232
-0.753,-0.278
-1.587,-0.753
-0.278,-1.587
0.027,-0.278
-1.556,0.027
0.331,-1.556
1.003,0.331
0.755,1.003
0.581,0.755
-0.838,0.581
0.435,-0.838
-0.021,0.435
0.412,-0.021
0.675,0.412
0.336,0.675
-1.115,0.336
0.574,-1.115
0.918,0.574
0.621,0.918
-0.65,0.621
-0.359,-0.65
-0.48,-0.359
0.122,-0.48
-0.947,0.122
-0.628,-0.947
0.683,-0.628
-1.625,0.683
1.003,-1.625
-0.992,1.003
-0.733,-0.992
0.792,-0.733
0.352,0.792
0.1,0.352
-0.019,0.1
-2.861,-0.019
1.175,-2.861
1.493,1.175
-0.708,1.493
-2.474,-0.708
-0.404,-2.474
-0.597,-0.404
-0.308,-0.597
1.486,-0.308
1.434,1.486
-0.399,1.434
0.994,-0.399
-0.181,0.994
-1.102,-0.181
-1.887,-1.102
1.351,-1.887
-1.551,1.351
0.822,-1.551
1.798,0.822
-0.005,1.798
0.046,-0.005
-0.285,0.046
2.263,-0.285
1.949,2.263
-0.667,1.949
1.451,-0.667
-0.45,1.451
0.585,-0.45
0.339,0.585
-0.229,0.339
-0.986,-0.229
-0.091,-0.986
1.138,-0.091
-0.052,1.138
0.407,-0.052
-1.576,0.407
0.151,-1.576
-0.424,0.151
-1.465,-0.424
0.585,-1.465
0.535,0.585
0.246,0.535
-0.074,0.246
-0.853,-0.074
-0.999,-0.853
0.084,-0.999
-0.321,0.084
0.228,-0.321
-0.666,0.228
1.133,-0.666
-2.369,1.133
0.663,-2.369
-0.761,0.663
2.342,-0.761
-0.204,2.342
-0.142,-0.204
0.062,-0.142
-1.541,0.062
-0.62,-1.541
-0.71,-0.62
-0.152,-0.71
-1.389,-0.152
-1.01,-1.389
1.077,-1.01
0.886,1.077
-0.175,0.886
-1.026,-0.175
-1.934,-1.026
-0.302,-1.934
3.75,-0.302
-1.455,3.75
-1.679,-1.455
1.855,-1.679
2.114,1.855
-0.566,2.114
0.656,-0.566
0.761,0.656
-1.329,0.761
-1.099,-1.329
0.569,-1.099
1.018,0.569
-1.209,1.018
-0.855,-1.209
-0.641,-0.855
-0.281,-0.641
0.233,-0.281
-2.48,0.233
0.001,-2.48
0.885,0.001
-1.976,0.885
-0.157,-1.976
0.312,-0.157
-1.663,0.312
0.657,-1.663
-1.049,0.657
-0.227,-1.049
2.869,-0.227
0.094,2.869
-1.654,0.094
-1.343,-1.654
-1.704,-1.343
0.362,-1.704
-1.67,0.362
-0.267,-1.67
1.758,-0.267
-0.083,1.758
-2.139,-0.083
-2.123,-2.139
0.622,-2.123
3.673,0.622
-1.218,3.673
-2.472,-1.218
-3.396,-2.472
0.75,-3.396
-0.645,0.75
-0.376,-0.645
-1.851,-0.376
0.566,-1.851
-2.702,0.566
-3.835,-2.702
-3.291,-3.835
-2.702,-3.291
5.733,-2.702
-0.563,5.733
1.688,-0.563
5.408,1.688
0.425,5.408
0.979,0.425
-2.957,0.979
-2.308,-2.957
-3.43,-2.308
2.992,-3.43
2.001,2.992
3.272,2.001
0.351,3.272
-0.533,0.351
-2.168,-0.533
4.005,-2.168
1.156,4.005
-0.159,1.156
2.361,-0.159
-1.396,2.361
1.273,-1.396
1.405,1.273
-2.269,1.405
0.754,-2.269
-1.385,0.754
-1.813,-1.385
-0.008,-1.813
-0.188,-0.008
-4.154,-0.188
1.752,-4.154
-1.595,1.752
1.68,-1.595
1.011,1.68
0.733,1.011
